id;quantity;share_price;type;position;subbmited_date;filled_date;notes;total;taxes;stop_loss;take_profit;leverage;exchange_rate;is_cfd
1;48469;32217;SELL;CLOSED;2022-03-27T22:20:48;2022-03-27T18:26:14;Rupiah payment Marks;20742;55341;26312;92349;77186;49140;true
2;44495;39702;BUY;CLOSED;2022-03-28T04:11:35;2022-03-27T17:03:16;virtual HDD;67206;1403;87119;47168;59476;40656;false
3;37759;40818;SELL;CLOSED;2022-03-27T22:27:55;2022-03-27T23:18:15;Oval Creek;74641;14645;14754;44552;59066;95773;true
4;54519;29068;SELL;OPEN;2022-03-28T15:18:10;2022-03-27T20:51:20;Cotton olive Response;59271;85604;9776;56864;45175;30351;false
5;26257;18802;BUY;OPEN;2022-03-28T05:17:14;2022-03-28T13:47:09;Regional;93769;7768;45796;68369;36493;79375;true
6;73672;4373;SELL;CLOSED;2022-03-27T18:18:09;2022-03-28T15:53:01;RSS channels;61507;95921;73833;78745;68075;82880;true
7;1194;17360;SELL;OPEN;2022-03-28T06:10:10;2022-03-28T02:40:09;Uruguay virtual Granite;66155;67223;49154;91977;82216;63016;true
8;91821;83958;BUY;OPEN;2022-03-28T11:56:11;2022-03-28T05:12:48;Specialist;96848;33363;88388;41634;16690;27031;true
9;98469;8661;SELL;OPEN;2022-03-28T04:11:16;2022-03-27T19:38:20;primary;95105;28162;18225;11686;18730;35275;true
10;47805;31861;SELL;OPEN;2022-03-28T11:24:06;2022-03-28T15:38:11;France tertiary ivory;98406;99239;83272;20391;63683;69634;true
