id;name;value;image;image_content_type;unrealised_value;profit_or_loss
1;Chips Automotive generation;25409;../fake-data/blob/hipster.png;image/png;30588;23675
2;payment EXE;74087;../fake-data/blob/hipster.png;image/png;14353;23977
3;Soap;33080;../fake-data/blob/hipster.png;image/png;53725;96594
4;Berkshire payment protocol;79356;../fake-data/blob/hipster.png;image/png;87837;30814
5;Small auxiliary infomediaries;44409;../fake-data/blob/hipster.png;image/png;63551;28593
6;array Handmade feed;42924;../fake-data/blob/hipster.png;image/png;48530;66216
7;Handcrafted Steel Liberian;41452;../fake-data/blob/hipster.png;image/png;39921;65398
8;Idaho primary Functionality;20176;../fake-data/blob/hipster.png;image/png;36249;58107
9;overriding innovative Automotive;5526;../fake-data/blob/hipster.png;image/png;18789;53148
10;Digitized Lead International;32525;../fake-data/blob/hipster.png;image/png;39034;65747
