id;ticker;name;image;image_content_type;isin;dividend_yield;sector;industry
1;Plastic Ergonomic Estates;Lari Steel Fresh;../fake-data/blob/hipster.png;image/png;Personal;1222;transmitting Savings Strategist;cyan core
2;Product Lebanon motivating;Pre-emptive;../fake-data/blob/hipster.png;image/png;incubate Vista;82162;Account;Sharable Flats
3;dedicated solution Naira;primary Ball;../fake-data/blob/hipster.png;image/png;evolve Cambridgeshire strategic;32942;base;metrics transitional up
4;Unbranded Electronics;methodology Ergonomic innovate;../fake-data/blob/hipster.png;image/png;Practical Borders Cambridgeshire;89915;Metrics Chips;world-class payment
5;Baby invoice;Borders Canada invoice;../fake-data/blob/hipster.png;image/png;matrix;87165;24/7 Wooden;Small Concrete
6;overriding;Frozen Islands;../fake-data/blob/hipster.png;image/png;leverage;911;blue;Persevering Walks
7;magenta;Point Oklahoma;../fake-data/blob/hipster.png;image/png;Christmas;4007;input;Granite Islands
8;zero;Assistant Senior Gorgeous;../fake-data/blob/hipster.png;image/png;Franc;45887;HDD metrics Solutions;leverage
9;Orchestrator;Buckinghamshire intermediate Refined;../fake-data/blob/hipster.png;image/png;convergence Handcrafted Bedfordshire;72734;deposit;exploit Direct payment
10;payment magnetic;SMS Assurance Global;../fake-data/blob/hipster.png;image/png;Functionality Pizza;16591;world-class violet Bike;Division Outdoors
