id;content;image;image_content_type;date;language;is_payed_promotion
1;Singapore Mexico;../fake-data/blob/hipster.png;image/png;2022-03-28T03:40:45;ENG;true
2;Specialist world-class;../fake-data/blob/hipster.png;image/png;2022-03-28T14:46:58;ENG;false
3;1080p solutions;../fake-data/blob/hipster.png;image/png;2022-03-28T06:58:48;ENG;true
4;next-generation Pataca;../fake-data/blob/hipster.png;image/png;2022-03-28T11:34:23;RO;true
5;Multi-layered synthesizing;../fake-data/blob/hipster.png;image/png;2022-03-28T06:35:25;RO;false
6;Fully-configurable Designer;../fake-data/blob/hipster.png;image/png;2022-03-28T13:31:23;RO;false
7;compress;../fake-data/blob/hipster.png;image/png;2022-03-28T15:01:42;ENG;false
8;Illinois enterprise;../fake-data/blob/hipster.png;image/png;2022-03-27T19:23:51;ENG;true
9;Costa Shoes;../fake-data/blob/hipster.png;image/png;2022-03-27T23:04:58;ENG;true
10;withdrawal Sleek Netherlands;../fake-data/blob/hipster.png;image/png;2022-03-28T14:44:40;ENG;false
