id;date;total_revenue;cost_of_revenue;gross_profit;operating_expense;operating_income
1;2022-03-27;31079;16765;79202;88241;19463
2;2022-03-28;95728;30790;84771;81655;71209
3;2022-03-28;53247;95874;96367;58520;41585
4;2022-03-28;93838;83365;73047;97947;15123
5;2022-03-28;81546;13276;31241;62792;75140
6;2022-03-28;99484;51631;48803;54637;43505
7;2022-03-27;37813;20243;24270;68369;4515
8;2022-03-28;66577;38348;11365;74612;77222
9;2022-03-27;86136;66807;65343;18356;95367
10;2022-03-28;74940;22385;53138;25738;34885
