id;date;open;high;low;close;adj_close;volume
1;2022-03-28;79805;16265;27160;25492;73891;7697
2;2022-03-28;98678;61215;3265;22434;87341;88909
3;2022-03-28;39016;74986;86082;94722;86559;53599
4;2022-03-27;4212;11419;52045;22251;75987;82441
5;2022-03-27;91805;30317;56596;81919;78750;47820
6;2022-03-28;36341;71842;5198;76820;70929;51029
7;2022-03-28;21116;93330;80236;18718;92711;70288
8;2022-03-28;65047;97494;337;49949;95479;70279
9;2022-03-28;62363;89293;73111;34413;54315;34604
10;2022-03-28;22007;91513;52791;19181;73382;74125
