id;name;symbol;country
1;Ethiopia Buckinghamshire;multi-byte Regional ivory;Burundi
2;Licensed;Fresh Cheese;Tajikistan
3;Franc synthesizing Persistent;Technician parsing JBOD;United States of America
4;neural Sharable Universal;Louisiana strategy invoice;Uzbekistan
5;Direct Won;French maximized;Hong Kong
6;East;Bedfordshire algorithm;Italy
7;benchmark interface;Berkshire Rufiyaa Personal;Singapore
8;Account turquoise Managed;system;Libyan Arab Jamahiriya
9;online Car Fish;1080p;Belize
10;generation Harbors;International;Yemen
